obstime,tempr,ap,ws,wd,rh
11/05/2015 04:00:00,-4.76,970.76,4.76,48.98,50.7
11/05/2015 05:00:00,-2.53,970.79,2.53,46.83,47.55
11/05/2015 06:00:00,-1.85,970.92,1.85,171.03,47.32
11/05/2015 07:00:00,-2.36,970.99,2.36,185.73,48.42
11/05/2015 08:00:00,-3.63,971.04,3.63,205.1,48.07
11/05/2015 09:00:00,-5.37,970.81,5.37,204.98,51.95
11/05/2015 10:00:00,-6.5,970.57,6.5,205.6,57.7
11/05/2015 11:00:00,-4.92,970.43,4.92,182.57,57.62
11/05/2015 12:00:00,-4.95,970.48,4.95,95.12,57.18
11/05/2015 13:00:00,-4.04,970.35,4.04,86.92,61.07
11/05/2015 14:00:00,-3.9,970.23,3.9,99.53,57.93
11/05/2015 15:00:00,-3.9,970.14,3.9,85.5,59.73
11/05/2015 16:00:00,-7.05,970.1,7.05,76.8,63.43
11/05/2015 17:00:00,-6.52,970.11,6.52,81.13,57.7
11/05/2015 18:00:00,-5.74,969.98,5.74,87.5,56.92
11/05/2015 19:00:00,-8.05,969.81,8.05,91.87,59.1
11/05/2015 20:00:00,-10.58,969.72,10.58,88.5,59.27
11/05/2015 21:00:00,-11.31,969.74,11.31,81.85,56.05
11/05/2015 22:00:00,-12.18,969.83,12.18,81.08,61.88
11/05/2015 23:00:00,-12.36,969.92,12.36,81.2,58.75
11/06/2015 00:00:00,-5.67,970.08,11.96,85.7,58.03
11/06/2015 01:00:00,-5.2,970,10.61,80.98,59.43
11/06/2015 02:00:00,-4.42,969.91,13.63,59.82,60.08
11/06/2015 03:00:00,-4.58,969.75,11.98,60.13,64.62
11/06/2015 04:00:00,-3.66,969.7,9.91,50.28,66.33
11/06/2015 05:00:00,-3.08,969.52,8.6,47.32,64.82
11/06/2015 06:00:00,-2.5,969.37,4.98,29.18,67.25
11/06/2015 07:00:00,-1.45,969.09,2.27,165.47,64.67
11/06/2015 08:00:00,-2.19,968.66,4.51,229.17,68.42
11/06/2015 09:00:00,-2.97,968.15,8.2,226.43,69.87
11/06/2015 10:00:00,-3.27,967.72,11.31,223.47,73.57
11/06/2015 11:00:00,-3.62,967.37,12.27,223.92,71.02
11/06/2015 12:00:00,-3.9,966.79,10.67,217.53,69.17
11/06/2015 13:00:00,-4.77,966.05,8.72,213.83,73.85
11/06/2015 14:00:00,-5.51,965.51,6.77,178.77,65.97
11/06/2015 15:00:00,-5.42,965.08,7.04,109,44.42
11/06/2015 16:00:00,-6.69,964.52,10.21,107.62,41.95
11/06/2015 17:00:00,-8.5,964.14,12.54,102.87,46.52
11/06/2015 18:00:00,-9.33,963.8,13.2,102.93,47.1
11/06/2015 19:00:00,-10.45,963.2,16.48,113.02,49.03
11/06/2015 20:00:00,-11.17,962.91,13.84,101.25,49.23
11/06/2015 21:00:00,-11.7,962.48,15.2,95.52,48.47
11/06/2015 22:00:00,-11.43,962.01,18.13,89.22,46.65
11/06/2015 23:00:00,-11.2,961.69,18.3,88.6,44.9
11/07/2015 00:00:00,-10.89,961.63,16.61,89.78,46.02
11/07/2015 01:00:00,-9.79,961.36,14.29,82.72,42.9
11/07/2015 02:00:00,-8.73,961.08,13.78,78.45,40.38
11/07/2015 03:00:00,-7.96,960.62,15.84,61.85,41.93
11/07/2015 04:00:00,-7.48,960.4,16.32,57.43,43
11/07/2015 05:00:00,-7.08,960.22,15.65,53.2,44.13
11/07/2015 06:00:00,-6.76,960.05,14.41,49.87,45.17
11/07/2015 07:00:00,-6.81,960.13,15.67,38.1,43.88
11/07/2015 08:00:00,-6.62,960.1,15.62,40.6,46.53
11/07/2015 09:00:00,-6.57,959.89,14.45,51.28,51.5
11/07/2015 10:00:00,-6.66,959.91,14.38,48.7,54.38
11/07/2015 11:00:00,-6.82,959.96,13.71,53.08,56.48
11/07/2015 12:00:00,-7.22,959.96,13.14,50.17,59.4
11/07/2015 13:00:00,-8.19,960.16,10.28,43.58,74.17
11/07/2015 14:00:00,-9.62,960.36,9.48,30.47,81.75
11/07/2015 15:00:00,-10.08,960.56,7.78,45.43,80.88
11/07/2015 16:00:00,-10.47,960.94,8.07,37.75,82
11/07/2015 17:00:00,-10.56,961.26,10.12,41.6,81.27
11/07/2015 18:00:00,-10.55,961.61,11.12,53.57,82.35
11/07/2015 19:00:00,-10.96,961.99,11.68,52.15,83.67
11/07/2015 20:00:00,-11.06,962.48,9.29,56.42,81.1
11/07/2015 21:00:00,-10.6,962.83,10.77,62.93,69.73
11/07/2015 22:00:00,-10.01,963.02,14.15,70.85,60.65
11/07/2015 23:00:00,-10.11,963.33,16.2,68.98,61.37
11/08/2015 00:00:00,-9.77,963.59,15.82,70.05,60.25
11/08/2015 01:00:00,-9.41,964,15.66,66.78,57.5
11/08/2015 02:00:00,-9.09,964.4,14.29,63.07,56.02
11/08/2015 03:00:00,-8.68,964.77,13.37,66.1,54.78
11/08/2015 04:00:00,-8.28,965.09,11.25,64.88,55.62
